Crypto,Date,Open,High,Low,Close
LTC,2019-10-07,54.47,58.78,53.6,57.43
LTC,2019-10-06,56.62,57.08,53.33,54.47
LTC,2019-10-05,56.97,57.48,55.75,56.62
LTC,2019-10-04,55.97,57.42,55.46,57.03
LTC,2019-10-03,55.65,56.55,53.79,56.05
LTC,2019-10-02,55.97,56.7,55.31,55.65
LTC,2019-10-01,55.31,57.61,55.03,55.92
LTC,2019-09-30,53.55,56.32,52.61,55.39
LTC,2019-09-29,55.45,55.99,52.45,53.55
LTC,2019-09-28,55.18,56.8,53.91,55.45
LTC,2019-09-27,53.86,55.84,52.95,55.18
LTC,2019-09-26,57.2,58.38,50.4,53.86
LTC,2019-09-25,57.65,58.72,53.57,57.2
LTC,2019-09-24,68.56,69.11,55.28,57.64
LTC,2019-09-23,71.91,74.08,68.87,68.87
LTC,2019-09-22,72.87,73.27,71.12,72.06
LTC,2019-09-21,74.26,75.62,72.04,72.87
LTC,2019-09-20,76.11,77.29,72.87,74.2
LTC,2019-09-19,78.41,79.13,72.67,76.14
LTC,2019-09-18,77.01,80.05,73.86,78.36
LTC,2019-09-17,71.58,77.82,71.58,77.01
LTC,2019-09-16,70.28,71.95,69.55,71.58
LTC,2019-09-15,71.17,71.47,69.78,70.28
LTC,2019-09-14,68.02,71.25,68.01,71.17
LTC,2019-09-13,68.92,69.64,67.57,68.02
LTC,2019-09-12,68.75,69.93,68.4,68.94
LTC,2019-09-11,70.84,71.36,68.3,68.75
LTC,2019-09-10,69.4,73.06,69.11,70.84
LTC,2019-09-09,69.66,71.29,67.87,69.4
LTC,2019-09-08,69.41,71.52,68.4,69.66
LTC,2019-09-07,65.18,70.42,64.75,69.45
LTC,2019-09-06,64.68,68.14,64.58,65.18
LTC,2019-09-05,67.46,67.8,64.32,64.65
LTC,2019-09-04,69.43,70.92,66.69,67.51
